,features,mae_score,feat_ind,feat_selected_score
56,AMO:R14:IOC:21:VHS6:CH1:VoltageMeasure,0.19677986204624176,56
81,AMO:R15:RMO:TEMP,0.19677305221557617,81
78,AMO:R14:IOC:21:VHS9:CH1:CurrentMeasure,0.19674502313137054,78
80,AMO:R14:RMO:TEMP,0.1966799795627594,80
38,AMO:R14:IOC:21:VHS0:CH3:VoltageMeasure,0.1966530829668045,38,1.566
91,LAS:FS1:VIT:PIEZO_AMP_MON,0.19664417207241058,91
77,AMO:R14:IOC:21:VHS9:CH0:CurrentMeasure,0.19663161039352417,77
40,AMO:R14:IOC:21:VHS10:CH1:CurrentMeasure,0.19662563502788544,40
43,AMO:R14:IOC:21:VHS1:CH3:VoltageMeasure,0.19659507274627686,43
28,AMO:R14:IOC:10:VHS0:CH1:CurrentMeasure,0.19658836722373962,28,1.554
97,f_21_ENRC,0.19656407833099365,97
90,LAS:FS1:VIT:CH1_CALC_PHASE_LAST_60_STD,0.1965610682964325,90
8,ebeamLTUAngY,0.19654464721679688,8
37,AMO:R14:IOC:21:VHS0:CH2:VoltageMeasure,0.1964906007051468,37
61,AMO:R14:IOC:21:VHS7:CH0:CurrentMeasure,0.19648310542106628,61,1.558
21,AMO:LMP:GCC:10:PRESS,0.1964779496192932,21
79,AMO:R14:IOC:21:VHS9:CH1:VoltageMeasure,0.19647490978240967,79
26,AMO:LMP:VG:31:PRESS,0.1964704990386963,26
52,AMO:R14:IOC:21:VHS4:CH2:CurrentMeasure,0.1964295655488968,52
42,AMO:R14:IOC:21:VHS1:CH2:VoltageMeasure,0.19641536474227905,42,1.558
23,AMO:LMP:VG:01:PRESS,0.19632266461849213,23
32,AMO:R14:IOC:10:VHS2:CH0:CurrentMeasure,0.19628570973873138,32
27,AMO:R14:IOC:10:VHS0:CH0:VoltageMeasure,0.19624654948711395,27
41,AMO:R14:IOC:21:VHS1:CH0:VoltageMeasure,0.19617241621017456,41
16,ebeamUndPosX,0.19610080122947693,16,1.55
